TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION,IS_NULLABLE,COMMENT
SALES,CUSTOMER_REFERRAL_SOURCE,TEXT,40,YES,
SALES,CUSTOMER_PHONE_NUMBER,TEXT,41,YES,
SALES,CUSTOMER_EMAIL,TEXT,42,YES,
SALES,CUSTOMER_EXTRA_DATA,VARIANT,43,YES,
SALES,POS_CUSTOMER_ID,TEXT,44,YES,
SALES,IS_DELIVERY,BOOLEAN,45,YES,
SALES,ORDER_SOURCE,TEXT,46,YES,
SALES,IS_WHOLESALE,BOOLEAN,47,YES,
SALES,EXTRA_DATA,VARIANT,48,YES,
SALES,DATA_SOURCE_NAME,TEXT,49,YES,
SALES,BATCH_ITEM_ID,TEXT,50,YES,
SALES,_LAST_UPDATE,TIMESTAMP_LTZ,51,YES,
SALES,ACCOUNT_ID,TEXT,52,YES,
STORES,STORE_ID,NUMBER,1,YES,
STORES,NAME,TEXT,2,YES,
STORES,ADDRESS,TEXT,3,YES,
STORES,CITY,TEXT,4,YES,
STORES,STATE,TEXT,5,YES,
STORES,COUNTRY,TEXT,6,YES,
STORES,POSTAL_CODE,TEXT,7,YES,
STORES,CUSTOM_GROUP,TEXT,8,YES,
STORES,TIME_ZONE,TEXT,9,YES,
STORES,CURRENT_CONNECTION,BOOLEAN,10,YES,
STORES,SQUARE_FEET,NUMBER,11,YES,
